CustomerID,CustomerName,Email,Phone,JoinDate,LocationID,TotalSpent
1,Customer_1,customer1@example.com,123-456-7891,2020-01-01,13,584.2
2,Customer_2,customer2@example.com,123-456-7892,2020-01-02,2,6722.81
3,Customer_3,customer3@example.com,123-456-7893,2020-01-03,1,2212.24
4,Customer_4,customer4@example.com,123-456-7894,2020-01-04,5,8695.29
5,Customer_5,customer5@example.com,123-456-7895,2020-01-05,39,7658.65
6,Customer_6,customer6@example.com,123-456-7896,2020-01-06,41,3921.23
7,Customer_7,customer7@example.com,123-456-7897,2020-01-07,28,8014.8
8,Customer_8,customer8@example.com,123-456-7898,2020-01-08,11,3483.71
9,Customer_9,customer9@example.com,123-456-7899,2020-01-09,38,896.98
10,Customer_10,customer10@example.com,123-456-7890,2020-01-10,44,5087.81
11,Customer_11,customer11@example.com,123-456-7891,2020-01-11,37,7285.54
12,Customer_12,customer12@example.com,123-456-7892,2020-01-12,40,3070.86
13,Customer_13,customer13@example.com,123-456-7893,2020-01-13,29,620.25
14,Customer_14,customer14@example.com,123-456-7894,2020-01-14,29,8549.89
15,Customer_15,customer15@example.com,123-456-7895,2020-01-15,45,6569.42
16,Customer_16,customer16@example.com,123-456-7896,2020-01-16,39,7927.75
17,Customer_17,customer17@example.com,123-456-7897,2020-01-17,31,2792.7
18,Customer_18,customer18@example.com,123-456-7898,2020-01-18,42,1246.08
19,Customer_19,customer19@example.com,123-456-7899,2020-01-19,3,1637.04
20,Customer_20,customer20@example.com,123-456-7890,2020-01-20,41,5008.74
21,Customer_21,customer21@example.com,123-456-7891,2020-01-21,12,3099.81
22,Customer_22,customer22@example.com,123-456-7892,2020-01-22,48,8341.1
23,Customer_23,customer23@example.com,123-456-7893,2020-01-23,41,539.75
24,Customer_24,customer24@example.com,123-456-7894,2020-01-24,21,9584.06
25,Customer_25,customer25@example.com,123-456-7895,2020-01-25,49,7031.76
26,Customer_26,customer26@example.com,123-456-7896,2020-01-26,8,495.01
27,Customer_27,customer27@example.com,123-456-7897,2020-01-27,43,7237.1
28,Customer_28,customer28@example.com,123-456-7898,2020-01-28,5,2167.49
29,Customer_29,customer29@example.com,123-456-7899,2020-01-29,41,1213.1
30,Customer_30,customer30@example.com,123-456-7890,2020-01-30,49,2892.3
31,Customer_31,customer31@example.com,123-456-7891,2020-01-31,25,5380.33
32,Customer_32,customer32@example.com,123-456-7892,2020-02-01,15,8602.8
